edgeLabel,locationA,locationB,actualDistance,Contributer,Notes
Nashville_tofrom_Jackson_on_I40,NashvilleTN,JacksonTN,129,IT,IT = the instructional team
Jackson_tofrom_Memphis_on_I40,JacksonTN,MemphisTN,88,IT,
Nashville_tofrom_BowlingGreen_on_I65,NashvilleTN,BowlingGreenKY,66,IT,
Louisville_tofrom_BowlingGreen_on_I65,LouisvilleKY,BowlingGreenKY,117,IT,
Indianapolis_tofrom_Louisville,IndianapolisIN,LouisvilleKY,114,IT,
Indianapolis_tofrom_TerreHaute,IndianapolisIN,TerreHauteIN,77,IT,
StLouis_tofrom_TerreHaute,StLouisMO,TerreHauteIN,170,IT,
Chicago_tofrom_Indianapolis,ChicagoIL,IndianapolisIN,183,IT,
Chicago_tofrom_Springfield,ChicagoIL,SpringfieldIL,200,IT,
StLouis_tofrom_Springfield,StLouisMO,SpringfieldIL,98,IT,
Cincinnati_tofrom_Lousville,CincinnatiOH,LouisvilleKY,100,IT,
Cincinnati_tofrom_Indianapolis,CincinnatiOH,IndianapolisIN,112,IT,
Indianapolis_tofrom_Columbus,IndianapolisIN,ColumbusOH,176,IT,
Cincinnati_tofrom_Columbus,CincinnatiOH,ColumbusOH,107,IT,
Columbus_tofrom_Cleveland,ColumbusOH,ClevelandOH,143,IT,
Louisville_tofrom_Lexington,LouisvilleKY,LexingtonKY,79,IT,
Knoxville_tofrom_Lexington,KnoxvilleTN,LexingtonKY,170,IT,
Cincinnati_tofrom_Lexington,CincinnatiOH,LexingtonKY,83,IT,
PortlandOR_tofrom_SeattleWA,PortlandOR,SeattleWA,174,IT,
PortlandOR_tofrom_PendletonOR,PortlandOR,PendletonOR,209,IT,
PortlandOR_tofrom_EugeneOR,PortlandOR,EugeneOR,110,IT,
EugeneOR_tofrom_PendletonOR,EugeneOR,PendletonOR,318,IT,
EugeneOR_tofrom_MedfordOR,EugeneOR,MedfordOR,168,IT,
PendletonOR_tofrom_MosesLakeWA,PendletonOR,MosesLakeWA,131,IT,
BoiseID_tofrom_PendletonOR,BoiseID,PendletonOR,222,IT,
BoiseID_tofrom_TwinFallsID,BoiseID,TwinFallsID,129,IT,
IdahoFallsID_tofrom_TwinFallsID,IdahoFallsID,TwinFallsID,160,IT,
SaltLakeCityUT_tofrom_TwinFallsID,SaltLakeCityUT,TwinFallsID,218,IT,
IdahoFallsID_tofrom_DeerLodgeMT,IdahoFallsID,DeerLodgeMT,232,IT,
SaltLakeCityUT_tofrom_IdahoFallsID,SaltLakeCityUT,IdahoFallsID,213,IT,
SpokaneWA_tofrom_MosesLakeWA,SpokaneWA,MosesLakeWA,104,IT,
SpokaneWA_tofrom_MullanID,SpokaneWA,MullanID,87.9,IT,
HelenaMT_tofrom_DeerLodgeMT,HelenaMT,DeerLodgeMT,54.7,IT,
HelenaMT_tofrom_BigTimberMT,HelenaMT,BigTimberMT,158,IT,
HelenaMT_tofrom_GreatFallsMT,HelenaMT,GreatFallsMT,90.8,IT,
SeattleWA_tofrom_PendletonOR,SeattleWA,PendletonOR,273,IT,
DenverCO_tofrom_BurlingtonCO,DenverCO,BurlingtonCO,168,IT,
ColoradoSpringsCO_tofrom_BurlingtonCO,ColoradoSpringsCO,BurlingtonCO,151,IT,
BurlingtonCO_tofrom_HaysKS,BurlingtonCO,HaysKS,173,IT,
ClevelandOH_tofrom_EriePA,ClevelandOH,EriePA,103,IT,
EriePA_tofrom_BuffaloNY,EriePA,BuffaloNY,96.9,IT,
EriePA_tofrom_PittsburghPA,EriePA,PittsburghPA,128,IT,
RochesterNY_tofrom_SyracuseNY,RochesterNY,SyracuseNY,86.5,IT,
SyracuseNY_tofrom_ScrantonPA,SyracuseNY,ScrantonPA,130,IT,
AlbanyNY_tofrom_SyracuseNY,AlbanyNY,SyracuseNY,145,IT,
ScrantonPA_tofrom_AllentownPA,ScrantonPA,AllentownPA,76.1,IT,
PhoenixAZ_tofrom_TucsonAZ,PhoenixAZ,TucsonAZ,112,IT,
TucsonAZ_tofrom_LordsburgNM,TucsonAZ,LordsburgNM,160,IT,
TucsonAZ_tofrom_GlobeAZ,TucsonAZ,GlobeAZ,101,IT,
MilwaukeeWI_tofrom_MadisonWI,MilwaukeeWI,MadisonWI,79.5,IT,
ChicagoIL_tofrom_MilwaukeeWI,ChicagoIL,MilwaukeeWI,92.1,IT,
MilwaukeeWI_tofrom_GreenBayWI,MilwaukeeWI,GreenBayWI,117,IT,
ChicagoIL_tofrom_GrandRapidsMI,ChicagoIL,GrandRapidsMI,178,IT,
GrandRapidsMI_tofrom_LansingMI,GrandRapidsMI,LansingMI,68.2,IT,
LansingMI_tofrom_FortWayneIN,LansingMI,FortWayneIN,133,IT,
LansingMI_tofrom_AnnArborMI,LansingMI,AnnArborMI,64.9,IT,
DetroitMI_tofrom_LansingMI,DetroitMI,LansingMI,94.5,IT,
AugustaME_tofrom_PortlandME,AugustaME,PortlandME,55.9,IT,
MontpelierVT_tofrom_ConcordNH,MontpelierVT,ConcordNH,117,IT,
PortlandME_tofrom_ConcordNH,PortlandME,ConcordNH,109,IT,
BostonMA_tofrom_PortlandME,BostonMA,PortlandME,107,IT,
BostonMA_tofrom_ConcordNH,BostonMA,ConcordNH,67.5,IT,
AlbanyNY_tofrom_ConcordNH,AlbanyNY,ConcordNH,148,IT,
BuffaloNY_tofrom_RochesterNY,BuffaloNY,RochesterNY,76.5,IT,
SyracuseNY_tofrom_RochesterNY,SyracuseNY,RochesterNY,86.4,IT,
AlbanyNY_tofrom_NewHavenCT,AlbanyNY,NewHavenCT,129,IT,
ProvidenceRI_tofrom_NewHavenCT,ProvidenceRI,NewHavenCT,102,IT,
BostonMA_tofrom_ProvidenceRI,BostonMA,ProvidenceRI,59.1,IT,
HartfordCT_tofrom_MontpelierVT,HartfordCT,MontpelierVT,199,IT,
BostonMA_tofrom_HartfordCT,BostonMA,HartfordCT,101,IT,
NewHavenCT_tofrom_HartfordCT,NewHavenCT,HartfordCT,38.8,IT,
ProvidenceRI_tofrom_HartfordCT,ProvidenceRI,HartfordCT,72.5,IT,
TrentonNJ_tofrom_MountHollyNJ,TrentonNJ,MountHollyNJ,21,IT,
PhiladelphiaPA_tofrom_TrentonNJ,PhiladelphiaPA,TrentonNJ,42.5,IT,
NewYorkNY_tofrom_TrentonNJ,NewYorkNY,TrentonNJ,67.1,IT,
NewYorkNY_tofrom_AllentownPA,NewYorkNY,AllentownPA,92.5,IT,
NewYorkNY_tofrom_NewHavenCT,NewYorkNY,NewHavenCT,80.9,IT,
AllentownPA_tofrom_PhiladelphiaPA,AllentownPA,PhiladelphiaPA,63.8,IT,
AllentownPA_tofrom_HarrisburgPA,AllentownPA,HarrisburgPA,84,IT,
HarrisburgPA_tofrom_PittsburghPA,HarrisburgPA,PittsburghPA,203,IT,
BaltimoreMD_tofrom_HarrisburgPA,BaltimoreMD,HarrisburgPA,79.2,IT,
PhiladelphiaPA_tofrom_BaltimoreMD,PhiladelphiaPA,BaltimoreMD,101,IT,
PhiladelphiaPA_tofrom_MountHollyNJ,PhiladelphiaPA,MountHollyNJ,26.4,IT,
PhiladelphiaPA_tofrom_OceanCityMD,PhiladelphiaPA,OceanCityMD,152,IT,
BaltimoreMD_tofrom_OceanCityMD,BaltimoreMD,OceanCityMD,147,IT,
CharlestonWV_tofrom_HuntingtonWV,CharlestonWV,HuntingtonWV,53,IT,
FairmontWV_tofrom_CharlestonWV,FairmontWV,CharlestonWV,140,IT,
BlacksburgVA_tofrom_CharlestonWV,BlacksburgVA,CharlestonWV,138,IT,
WashingtonDC_tofrom_BaltimoreMD,WashingtonDC,BaltimoreMD,40.1,IT,
WashingtonDC_tofrom_RichmondVA,WashingtonDC,RichmondVA,109,IT,
RichmondVA_tofrom_NorfolkVA,RichmondVA,NorfolkVA,92.9,IT,
RichmondVA_tofrom_HarrisburgPA,RichmondVA,HarrisburgPA,222,IT,
RichmondVA_tofrom_RaleighNC,RichmondVA,RaleighNC,175,IT,
ColumbiaSC_tofrom_AugustaGA,ColumbiaSC,AugustaGA,75.8,IT,
WilmingtonNC_tofrom_CharlestonSC,WilmingtonNC,CharlestonSC,176,IT,
CharlestonSC_tofrom_SavannahGA,CharlestonSC,SavannahGA,108,IT,
AugustaGA_tofrom_CharlestonSC,AugustaGA,CharlestonSC,169,IT,
ColumbiaSC_tofrom_CharlestonSC,ColumbiaSC,CharlestonSC,116,IT,
LubbockTX_tofrom_AmarilloTX,LubbockTX,AmarilloTX,122,IT,
DoraNM_tofrom_LubbockTX,DoraNM,LubbockTX,102,IT,
NewOrleansLA_tofrom_JacksonMS,NewOrleansLA,JacksonMS,186,IT,
NewOrleansLA_tofrom_BatonRougeLA,NewOrleansLA,BatonRougeLA,81.2,IT,
NewOrleansLA_tofrom_MobileAL,NewOrleansLA,MobileAL,144,IT,
BatonRougeLA_tofrom_JacksonMS,BatonRougeLA,JacksonMS,175,IT,
BatonRougeLA_tofrom_ShreveportLA,BatonRougeLA,ShreveportLA,247,IT,
HoustonTX_tofrom_BatonRougeLA,HoustonTX,BatonRougeLA,269,IT,
JacksonMS_tofrom_ShreveportLA,JacksonMS,ShreveportLA,217,IT,
MemphisTN_tofrom_JacksonMS,MemphisTN,JacksonMS,209,IT,
DallasTX_tofrom_ShreveportLA,DallasTX,ShreveportLA,188,IT,
ShreveportLA_tofrom_NewBostonTX,ShreveportLA,NewBostonTX,96.2,IT,
DesMoinesIA_tofrom_CedarRapidsIA,DesMoinesIA,CedarRapidsIA,128,IT,
CedarRapidsIA_tofrom_DavenportIA,CedarRapidsIA,DavenportIA,81.9,IT,
FortSmithAR_tofrom_JoplinMO,FortSmithAR,JoplinMO,146,IT,
LittleRockAR_tofrom_FortSmithAR,LittleRockAR,FortSmithAR,160,IT,
OklahomaCityOK_tofrom_FortSmithAR,OklahomaCityOK,FortSmithAR,181,IT,
TulsaOK_tofrom_JoplinMO,TulsaOK,JoplinMO,113,IT,
KansasCityKS_tofrom_JoplinMO,KansasCityMO,JoplinMO,161,IT,
StLouisMO_tofrom_JoplinMO,StLouisMO,JoplinMO,284,IT,
ColoradoSpringsCO_tofrom_PuebloNM,ColoradoSpringsCO,PuebloCO,45,IT,
SantaFeNM_tofrom_PuebloNM,SantaFeNM,PuebloCO,280,IT,
AlbuquerqueNM_tofrom_SantaFeNM,AlbuquerqueNM,SantaFeNM,64.1,IT,
OklahomaCityOK_tofrom_ElkCityOK,OklahomaCityOK,ElkCityOK,114,IT,
AmarilloTX_tofrom_ElkCityOK,AmarilloTX,ElkCityOK,148,IT,
TulsaOK_tofrom_OklahomaCityOK,TulsaOK,OklahomaCityOK,106,IT,
OklahomaCityOK_tofrom_WichitaKS,OklahomaCityOK,WichitaKS,161,IT,
DallasTX_tofrom_OklahomaCityOK,DallasTX,OklahomaCityOK,206,IT,
WichitaKS_tofrom_HaysKS,WichitaKS,HaysKS,183,IT,
ManhattanKS_tofrom_HaysKS,ManhattanKS,HaysKS,158,IT,
KansasCityMO_tofrom_ManhattanKS,KansasCityMO,ManhattanKS,119,IT,
KansasCityMO_tofrom_WichitaKS,KansasCityMO,WichitaKS,196,IT,
DenverCO_tofrom_NorthPlatteNE,DenverCO,NorthPlatteNE,265,IT,
LincolnNE_tofrom_NorthPlatteNE,LincolnNE,NorthPlatteNE,225,IT,
CheyenneWY_tofrom_NorthPlatteNE,CheyenneWY,NorthPlatteNE,222,IT,
LincolnNE_tofrom_OmahaNE,LincolnNE,OmahaNE,58.5,IT,
ChicagoIL_tofrom_DavenportIA,ChicagoIL,DavenportIA,176,IT,
DesMoinesIA_tofrom_DavenportIA,DesMoinesIA,DavenportIA,169,IT,
DavenportIA_tofrom_SpringfieldIL,DavenportIA,SpringfieldIL,171,IT,
RochesterMN_tofrom_MadisonWI,RochesterMN,MadisonWI,213,IT,
SiouxFallsSD_tofrom_RochesterMN,SiouxFallsSD,RochesterMN,238,IT,
MinneapolisMN_tofrom_RochesterMN,MinneapolisMN,RochesterMN,86.6,IT,
OmahaNE_tofrom_DesMoinesIA,OmahaNE,DesMoinesIA,134,IT,
DesMoinesIA_tofrom_KansasCityMO,DesMoinesIA,KansasCityMO,196,IT,
MinneapolisMN_tofrom_DuluthMN,MinneapolisMN,DuluthMN,154,IT,
MinneapolisMN_tofrom_DesMoinesIA,MinneapolisMN,DesMoinesIA,244,IT,
MinneapolisMN_tofrom_MadisonWI,MinneapolisMN,MadisonWI,272,IT,
MinneapolisMN_tofrom_FargoND,MinneapolisMN,FargoND,235,IT,
GlendiveMT_tofrom_BigTimberMT,GlendiveMT,BigTimberMT,301,IT,
GlendiveMT_tofrom_BismarckND,GlendiveMT,BismarckND,195,IT,
FargoND_tofrom_BismarckND,FargoND,BismarckND,196,IT,
SiouxFallsSD_tofrom_FargoND,SiouxFallsSD,FargoND,243,IT,
CodyWY_tofrom_BuffaloWY,CodyWY,BuffaloWY,167,IT,
BuffaloWY_tofrom_BigTimberMT,BuffaloWY,BigTimberMT,246,IT,
BuffaloWY_tofrom_SturgisSD,BuffaloWY,SturgisSD,182,IT,
BuffaloWY_tofrom_CasperWY,BuffaloWY,CasperWY,114,IT,
BuffaloWY_tofrom_LameDeerMT,BuffaloWY,LameDeerMT,115,IT,
CheyenneWY_tofrom_CasperWY,CheyenneWY,CasperWY,177,IT,
DenverCO_tofrom_CheyenneWY,DenverCO,CheyenneWY,102,IT,
GallupNM_tofrom_AlbuquerqueNM,GallupNM,AlbuquerqueNM,138,IT,
GallupNM_tofrom_FlagstaffAZ,GallupNM,FlagstaffAZ,185,IT,
PhoenixAZ_tofrom_FlagstaffAZ,PhoenixAZ,FlagstaffAZ,144,IT,
FlagstaffAZ_tofrom_KingmanAZ,FlagstaffAZ,KingmanAZ,147,IT,
AlbuquerqueNM_tofrom_DemingNM,AlbuquerqueNM,DemingNM,234,IT,
BakersfieldCA_tofrom_BarstowCA,BakersfieldCA,BarstowCA,131,IT,
LosAngelesCA_tofrom_BakersfieldCA,LosAngelesCA,BakersfieldCA,111,IT,
BakersfieldCA_tofrom_FresnoCA,BakersfieldCA,FresnoCA,109,IT,
DenverCO_tofrom_AspenCO,DenverCO,AspenCO,159,IT,
AspenCO_tofrom_GrandJunctionCO,AspenCO,GrandJunctionCO,128,IT,
SaltLakeCityUT_tofrom_GrandJunctionCO,SaltLakeCityUT,GrandJunctionCO,284,IT,
CedarCityUT_tofrom_GrandJunctionCO,CedarCityUT,GrandJunctionCO,338,IT,
SaltLakeCityUT_tofrom_CedarCityUT,SaltLakeCityUT,CedarCityUT,252,IT,
LasVegasNV_tofrom_CedarCityUT,LasVegasNV,CedarCityUT,170,IT,
SaltLakeCityUT_tofrom_ElkoNV,SaltLakeCityUT,ElkoNV,230,IT,
ElkoNV_tofrom_WinnemuccaNV,ElkoNV,WinnemuccaNV,124,IT,
WinnemuccaNV_tofrom_RenoNV,WinnemuccaNV,RenoNV,165,IT,
RenoNV_tofrom_SacramentoCA,RenoNV,SacramentoCA,132,IT,
RenoNV_tofrom_SouthLakeTahoeCA,RenoNV,SouthLakeTahoeCA,61.4,IT,
SouthLakeTahoeCA_tofrom_SacramentoCA,SouthLakeTahoeCA,SacramentoCA,103,IT,
FresnoCA_tofrom_SanJoseCA,FresnoCA,SanJoseCA,150,IT,
SacramentoCA_tofrom_FresnoCA,SacramentoCA,FresnoCA,169,IT,
SacramentoCA_tofrom_ReddingCA,SacramentoCA,ReddingCA,162,IT,
SanFranciscoCA_tofrom_SacramentoCA,SanFranciscoCA,SacramentoCA,87.9,IT,
ReddingCA_tofrom_MedfordOR,ReddingCA,MedfordOR,150,IT,
OrlandoFL_tofrom_TampaFL,OrlandoFL,TampaFL,84.2,IT,Id0
JacksonvilleFL_tofrom_TallahasseeFL,JacksonvilleFL,TallahasseeFL,164,IT,
JacksonMS_tofrom_TuscaloosaAL,JacksonMS,TuscaloosaAL,186,IT,
MemphisTN_tofrom_MetropolisIL,MemphisTN,MetropolisIL,206,IT,
MemphisTN_tofrom_MartinTN,MemphisTN,MartinTN,135,IT,
SanAntonioTX_tofrom_CorpusChristi,SanAntonioTX,CorpusChristiTX,144,IT,
SanAntonioTX_tofrom_AustinTX,SanAntonioTX,AustinTX,79.5,IT,
SanAntonioTX_tofrom_ArtesiaWellsTX,SanAntonioTX,ArtesiaWellsTX,114,IT,
DallasTX_tofrom_HoustonTX,DallasTX,HoustonTX,240,IT,
AlbuquerqueNM_tofrom_SantaRosaNM,AlbuquerqueNM,SantaRosaNM,118,IT,
AmarilloTX_tofrom_SantaRosaNM,AmarilloTX,SantaRosaNM,172,IT,
TallahasseeFL_tofrom_Blountstown,TallahasseeFL,BlountstownFL,48.5,IT,
AtlantaGA_tofrom_BirminghamAL,AtlantaGA,BirminghamAL,147,IT,
TuscaloosaAL_tofrom_BirminghamAL,TuscaloosaAL,BirminghamAL,57.7,IT,
JacksonMS_tofrom_ColumbusMS,JacksonMS,ColumbusMS,154,IT,
MountHollyNJ_tofrom_NewHavenCT_on_I-95N,MountHollyNJ,NewHavenCT,153,IT,
FayettevilleNC_tofrom_CharlotteNC_on_US-74W,FayettevilleNC,CharlotteNC,139,IT,
LexingtonKY_tofrom_HuntingtonWV_on_I64E,LexingtonKY,HuntingtonWV,126,IT,
CincinnatiOH_tofrom_HuntingtonWV_on_KY-9S,CincinnatiOH,HuntingtonWV,147,IT,
LouisvilleKY_tofrom_HuntingtonWV_on_I64E,LouisvilleKY,HuntingtonWV,197,IT,
HuntingtonWV_tofrom_FairmontWV_on_I64E_and_I79N,HuntingtonWV,FairmontWV,191,IT,
FairmontWV_tofrom_PittsburghPA_on_I79N,FairmontWV,PittsburghPA,91.4,IT,
ColumbusOH_tofrom_PittsburghPA_on_I70E,ColumbusOH,PittsburghPA,185,IT,
